ip,port,country
167.86.80.104,8118,Germany
195.234.87.211,53281,Bulgaria
159.224.44.19,37190,Ukraine
80.32.122.118,46738,Spain
103.100.83.238,36598,India
5.9.202.162,1080,Germany
190.152.5.126,53040,Ecuador
197.245.230.122,53823,South Africa
80.78.75.59,38253,Albania
1.10.187.149,44976,Thailand
94.16.120.18,5555,Germany
80.91.118.129,53281,Albania
1.20.100.111,30095,Thailand
219.93.16.182,36064,Malaysia
183.82.32.153,55236,India
195.225.48.193,58302,Ukraine
154.72.202.62,53281,Uganda
187.141.164.242,31120,Mexico
103.224.5.5,54143,India
197.155.158.22,80,Mali
197.211.38.187,50272,Nigeria
176.103.48.189,1182,Ukraine
36.66.175.111,51498,Indonesia
80.188.239.106,39271,Czech Republic
202.70.82.253,23500,Nepal
193.117.138.126,40910,United Kingdom
118.173.233.80,31559,Thailand
187.120.253.119,30181,Brazil
103.204.171.202,53281,India
79.115.245.227,8080,Romania
103.216.82.198,46123,India
103.21.163.76,6666,India
36.66.126.135,61535,Indonesia
204.249.203.201,50032,United States
106.104.151.142,58198,Taiwan
176.104.52.46,47578,Ukraine
36.67.42.39,35273,Indonesia
36.89.181.155,60165,Indonesia
27.72.61.48,48455,Vietnam
46.8.28.17,8080,Ukraine
109.70.202.137,41258,Italy
186.216.81.21,31773,Brazil
74.15.191.160,41564,Canada
102.176.160.75,30615,Guinea
201.16.151.65,44610,Brazil
187.111.160.8,42579,Brazil
187.73.68.14,53281,Brazil
118.172.201.34,50071,Thailand
117.2.17.26,53281,Vietnam
190.217.1.33,32192,Venezuela
93.109.241.246,37120,Cyprus
200.35.49.89,43006,Colombia
92.46.126.55,59086,Kazakhstan
41.87.29.130,8080,Malawi
186.219.255.246,40307,Brazil
197.159.0.214,60051,Cameroon
61.9.82.34,52947,Philippines
151.253.158.10,8080,United Arab Emirates
36.89.193.169,49612,Indonesia
24.37.245.42,36836,Canada
178.168.19.144,30736,"Moldova, Republic of"
167.172.160.86,8118,Germany
5.58.85.32,59824,Ukraine
177.126.216.149,46320,Brazil
31.202.30.118,54547,Ukraine
27.116.50.74,43052,India
186.42.124.130,65301,Ecuador
195.46.20.146,21231,Greece
77.242.16.26,53281,Albania
181.129.140.226,47524,Colombia
193.32.6.6,8080,United Kingdom
178.215.190.240,57629,Ukraine
63.249.67.70,53281,United States
202.51.110.158,32247,Indonesia
103.93.233.14,8080,Australia
182.52.51.53,60441,Thailand
206.189.94.190,8118,Singapore
200.33.152.207,45226,Brazil
12.218.209.130,53281,United States
103.117.213.74,59283,India
5.9.218.111,1080,Germany
103.111.53.82,53465,Indonesia
118.174.220.14,43473,Thailand
182.53.197.156,34816,Thailand
103.208.152.34,37841,India
186.46.3.238,46849,Ecuador
109.245.239.125,55311,Serbia
177.12.80.50,50556,Brazil
213.58.202.70,54214,Portugal
186.211.182.113,38170,Brazil
158.140.167.148,53281,Indonesia
203.177.133.148,55939,Philippines
47.52.130.86,8118,Hong Kong
110.232.64.171,4777,Indonesia
178.134.123.38,8888,Georgia
182.52.74.76,34084,Thailand
125.27.251.57,41425,Thailand
94.228.21.66,30784,United Kingdom
125.27.251.87,58182,Thailand
51.89.4.140,8118,Germany
213.16.81.189,54040,Hungary
117.54.13.174,34190,Indonesia
124.41.211.212,23500,Nepal
93.170.15.177,41848,Ukraine
110.44.117.26,43922,Nepal
177.125.20.35,40744,Brazil
83.13.164.202,49185,Poland
185.37.213.76,30695,Spain
122.2.37.38,38261,Philippines
202.166.196.28,50153,Nepal
189.113.217.35,42517,Brazil
128.199.250.157,8118,Singapore
124.81.67.113,57997,Indonesia
193.68.135.123,59278,Bulgaria
202.131.234.142,46764,Mongolia
123.27.3.246,32259,Vietnam
200.236.221.242,36729,Brazil
191.100.131.82,21776,Ecuador
1.179.149.97,53243,Thailand
179.125.39.230,52203,Brazil
77.252.26.71,36311,Poland
103.94.7.254,53281,Indonesia
191.241.166.6,41288,Brazil
195.230.130.73,41068,Ukraine
36.89.155.66,47562,Indonesia
46.201.235.229,3128,Ukraine
103.216.82.52,6666,India
181.40.84.38,49674,Paraguay
94.21.118.140,61379,Hungary
186.46.6.233,46849,Ecuador
177.36.7.61,53281,Brazil
179.27.83.222,54260,Uruguay
200.68.13.26,56000,Chile
129.205.135.171,46696,South Africa
92.84.56.10,51275,Romania
86.124.89.80,51978,Romania
197.159.136.102,39934,Ghana
200.94.140.50,36017,Mexico
64.17.30.238,63141,United States
185.50.56.230,32231,Bosnia and Herzegovina
192.199.53.131,51650,Canada
176.106.186.99,43750,Slovakia
103.76.20.155,54845,Indonesia
200.41.94.113,41310,Chile
216.228.69.202,32170,United States
167.71.252.242,80,United States
103.255.235.129,39847,India
182.52.238.118,50390,Thailand
103.231.218.30,47568,India
37.57.216.2,2222,Ukraine
177.238.248.110,54419,Mexico
109.101.139.106,61139,Romania
159.224.182.206,35525,Ukraine
144.76.168.15,8118,Germany
27.72.56.206,36462,Vietnam
36.37.113.4,36485,Indonesia
212.87.248.11,40762,Poland
202.63.242.20,56610,Nepal
118.173.233.39,48988,Thailand
85.187.17.39,53281,Bulgaria
142.93.237.108,8118,Netherlands
176.241.137.95,53281,Ukraine
178.213.130.101,52658,Armenia
95.0.35.227,8080,Turkey
120.29.155.59,60004,Indonesia
89.190.120.116,34850,Lithuania
202.152.38.76,52740,Indonesia
193.193.71.178,43857,Poland
220.227.245.36,3128,India
148.251.200.199,1080,Germany
144.76.214.158,1080,Germany
200.223.86.174,44525,Brazil
194.12.121.100,61600,Ukraine
186.1.5.35,55450,Nicaragua
186.219.214.45,32708,Brazil
190.11.15.2,57444,Ecuador
185.192.137.82,39901,Italy
210.56.244.65,8080,Australia
130.193.112.146,36923,Germany
93.87.17.1,53281,Serbia
114.199.115.244,38509,Indonesia
95.104.54.227,42119,Georgia
27.111.38.177,39850,Indonesia
91.187.116.232,44981,Albania
119.93.235.205,41731,Philippines
181.113.225.198,53281,Ecuador
186.47.82.6,41430,Ecuador
179.40.75.1,38736,Argentina
95.51.161.226,48250,Poland
185.99.64.75,52452,Czech Republic
88.247.10.31,8080,Turkey
124.41.211.180,32861,Nepal
185.104.252.9,9090,Lebanon
187.87.204.210,45597,Brazil
103.227.147.142,37581,Indonesia
138.121.32.133,23492,Brazil
59.125.31.116,45965,Taiwan
125.26.7.115,30012,Thailand
119.42.152.181,48542,India
84.15.143.111,40150,Latvia
154.41.2.154,13538,Ukraine
122.176.65.143,39859,India
186.159.2.241,43459,Colombia
125.26.99.212,51591,Thailand
192.140.42.28,39653,Brazil
210.48.204.134,54085,Malaysia
202.29.220.34,48277,Thailand
189.204.242.178,8080,Mexico
200.0.46.50,37232,Brazil
177.72.72.217,54468,Brazil
