ip,port,country
102.164.214.225,45528,Botswana
14.207.59.166,3128,Thailand
190.122.97.138,52622,Dominican Republic
190.107.20.206,34626,Colombia
93.157.163.66,35081,Russian Federation
185.32.165.78,8080,Russian Federation
177.202.43.110,38012,Brazil
178.72.74.40,38866,Russian Federation
85.173.165.36,46330,Russian Federation
103.109.14.237,49693,India
185.33.34.76,42293,Albania
124.41.240.203,55948,Nepal
195.9.188.78,53281,Russian Federation
92.46.58.110,48144,Kazakhstan
188.168.27.71,36733,Russian Federation
178.213.0.207,35140,Ukraine
181.143.157.242,50942,Colombia
124.41.211.251,36205,Nepal
188.43.52.166,47362,Russian Federation
91.219.56.221,8080,Russian Federation
170.81.35.26,36681,Costa Rica
46.201.235.229,3128,Ukraine
138.121.155.127,61932,Brazil
194.44.172.254,23500,Ukraine
1.20.97.122,44279,Thailand
183.88.213.25,50440,Thailand
45.6.120.126,43374,Brazil
66.96.193.206,8080,Singapore
200.33.152.207,45226,Brazil
77.94.144.162,3128,Slovenia
124.41.211.52,45657,Nepal
36.66.175.111,51498,Indonesia
118.99.100.91,8080,Indonesia
154.73.141.162,51962,South Africa
217.29.114.40,56244,Uzbekistan
87.251.238.156,45083,Poland
209.182.217.53,8080,United States
119.82.252.115,49085,Cambodia
36.67.27.189,47877,Indonesia
202.75.97.82,47009,Indonesia
45.6.136.247,53281,Brazil
150.129.54.111,6666,India
36.37.112.210,42883,Indonesia
41.58.162.46,38100,Nigeria
75.80.242.9,41007,United States
80.59.199.213,8080,Spain
190.92.5.158,53281,Honduras
45.248.94.60,30858,India
119.81.71.27,8123,Singapore
178.32.80.48,8080,France
118.175.93.103,51750,Thailand
200.105.215.18,33630,Bolivia
169.57.1.85,8080,Mexico
197.234.35.82,53281,Nigeria
51.254.220.245,3128,France
169.57.157.146,8123,Brazil
101.109.255.18,46545,Thailand
195.209.131.19,33688,Russian Federation
77.252.26.71,36311,Poland
169.57.157.148,80,Brazil
80.91.118.129,53281,Albania
202.138.236.35,31173,Indonesia
24.172.82.94,53281,United States
166.249.185.133,45607,United States
31.179.224.42,49865,Poland
118.174.232.239,39258,Thailand
83.171.114.92,37266,Russian Federation
92.55.59.38,41631,Russian Federation
85.238.98.160,34167,Ukraine
101.109.83.202,40391,Thailand
45.115.63.78,55443,India
202.93.227.14,53281,Indonesia
200.89.125.178,42483,Colombia
154.73.137.157,38170,South Africa
125.27.251.57,41425,Thailand
195.239.178.110,33246,Russian Federation
46.35.244.18,8080,Ukraine
103.74.70.142,35754,India
151.237.175.183,8080,Russian Federation
95.84.128.25,33765,Russian Federation
103.96.235.178,23500,Bangladesh
91.135.148.198,59384,Russian Federation
96.9.86.70,41916,Cambodia
103.251.225.18,35101,India
117.58.241.222,34208,Bangladesh
190.184.144.170,58975,Colombia
203.188.246.67,8080,Bangladesh
89.39.108.202,37681,Poland
190.11.15.2,57444,Ecuador
95.158.62.178,51332,Ukraine
125.26.7.85,54888,Thailand
103.21.163.84,35101,India
117.6.161.118,53281,Vietnam
37.232.13.54,51296,Georgia
24.37.245.42,36836,Canada
109.72.232.240,53281,Russian Federation
185.173.245.127,35302,"Moldova, Republic of"
124.41.211.180,32861,Nepal
91.203.36.102,53313,Russian Federation
213.96.26.70,53855,Spain
202.166.196.28,50153,Nepal
202.74.243.38,32449,Bangladesh
37.204.20.170,8080,Russian Federation
200.68.13.26,56000,Chile
94.180.249.187,38051,Russian Federation
45.71.108.18,46114,Brazil
220.227.245.36,3128,India
89.189.172.88,8080,Russian Federation
146.88.51.237,80,Thailand
178.213.130.101,52658,Armenia
85.10.219.97,1080,Germany
80.188.239.106,39271,Czech Republic
178.169.196.87,48834,Bulgaria
83.13.164.202,49185,Poland
45.65.222.174,45635,Brazil
94.232.11.178,35106,Russian Federation
37.17.38.196,53281,Belarus
170.247.152.132,43747,Panama
95.51.161.226,48250,Poland
170.246.85.106,50991,Ecuador
136.25.2.43,40614,United States
125.26.99.223,38308,Thailand
5.141.244.97,61288,Russian Federation
91.191.250.142,31059,Russian Federation
1.2.169.28,33857,Thailand
185.26.219.34,48368,Russian Federation
122.248.45.35,53281,Indonesia
113.160.206.37,37194,Vietnam
192.162.62.197,59246,Poland
115.31.142.169,43337,Thailand
45.70.218.102,36668,Brazil
